日期,通報內容
114/09/29,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月28日（星期日）0600時至9月29日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（其中逾越海峽中線進入北部、中部、西南及東部空域6架次）、共艦8艘及公務船4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/28,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月27日（星期六）0600時至9月28日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（進入北部、西南及東部空域5架次）、共艦7艘及公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/27,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年9月26日（星期五）0600時至9月27日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機19架次（其中逾越海峽中線進入北部、中部及西南部空域15架次）及共艦7艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/26,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年9月25日（星期四）0600時至9月26日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（其中逾越海峽中線進入北部空域9架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/25,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年9月24日（星期三）0600時至9月25日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機1架（進入北部空域1架）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/24,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月23日（星期二）0600時至9月24日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共艦1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/23,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年9月22日（星期一）0600時至9月23日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機15架次（其中逾越海峽中線進入北部及西南部空域11架次）及共艦1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/22,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年9月21日（星期日）0600時至9月22日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次及共艦4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/21,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月20日（星期六）0600時至9月21日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/20,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月19日（星期五）0600時至9月20日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（其中逾越海峽中線進入北部空域3架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/19,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月18日（星期四）0600時至9月19日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次（其中逾越海峽中線進入北部、西南及東部空域8架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/18,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月17日（星期三）0600時至9月18日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次（其中逾越海峽中線進入北部及西南部空域3架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/17,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月16日（星期二）0600時至9月17日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機31架次（其中逾越海峽中線進入北部、西南及東部空域26架次）及共艦14艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/16,中共解放軍臺海周邊海、空域動態 一、日期 Date： 中華民國114年9月15日（星期一）0600時至9月16日（星期二）0600時止。 二、活動動態 PLA activities： 迄0600時止，偵獲共機24架次（其中逾越海峽中線進入北部、西南及東部空域15架次）及共艦11艘、公務船6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/15,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月14日（星期日）0600時至9月15日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機26架次（其中逾越海峽中線進入北部、西南及東部空域23架次）及共艦9艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/14,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月13日（星期六）0600時至9月14日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機27架次（其中逾越海峽中線進入北部、中部、西南及東部空域26架次）及共艦14艘、公務船6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/13,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月12日（星期五）0600時至9月13日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機31架次（其中逾越海峽中線進入北部、中部及西南空域25架次）及共艦13艘、公務船3艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/12,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月11日（星期四）0600時至9月12日（星期五）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機22架次（其中逾越海峽中線進入北部及西南空域15架次）及共艦10艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/11,中共解放軍臺海周邊海、空域動態 一、日期 Date： 中華民國114年9月10日（星期三）0600時至9月11日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次（其中逾越海峽中線進入北部、西南及東部空域14架次）及共艦5艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/10,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月9日（星期二）0600時至9月10日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次（其中逾越海峽中線進入北部及東部空域13架次）及共艦6艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/09,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月8日（星期一）0600時至9月9日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次（其中逾越海峽中線進入北部空域2架次）及共艦6艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/08,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月7日（星期日）0600時至9月8日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機27架次（其中逾越海峽中線進入北部、中部及西南空域14架次）及共艦7艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/09/07,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月6日（星期六）0600時至9月7日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機21架次（其中逾越海峽中線12架次）及共艦6艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
